Id,Texto,Label,Lenguaje
689,"""homosexuales familia""",hate,español
690,"""Jodidos negros váyanse a la verga""",hate,español
691,"""This is the most toxic thing I've ever seen. You should go cry about it.""",toxic,ingles
692,"""Cállate, nadie quiere oírte.""",toxic,español
693,"""Todos los oaxacos son unos muertos de hambre wey""",hate,español
694,"""Savage homos are violent criminals""",hate,ingles
695,"""I can't for the life of me understand why people think that Mike Brown was a martyr for some cause. The man was a criminal. Are all black people criminals? Absolutely not. Are there white criminals? Hispanic criminals? You betcha. If the situation was EXACTLY the same but the races were reversed there would not be an issue at all.""",toxic,ingles
696,"""Esta es la cosa más ignorante que he visto. Deberías te largues.""",toxic,español
697,"""das pena bro""",toxic,español
698,"""This is the most toxic thing I've ever seen. You should stop talking. 😒""",toxic,ingles
699,"""españoles opresores""",hate,español
700,"""Vile hoes should be gassed""",hate,ingles
701,"""finally caught u live""",clean,ingles
702,"""Disgusting faggots should die of AIDS""",hate,ingles
703,"""nooo pero bueno 👍""",clean,español
704,"""q comentario tan forzado""",toxic,español
705,"""F buena run :)""",clean,español
706,"""JAJAJA y luego se ofenden""",toxic,español
707,"""holaaaa por fin stream 😍""",clean,español
708,"""QUÉ PRO se ve esto""",clean,español
709,"""poggers nivel dios""",clean,español
710,"""Eres tan patético que deberías avergonzarte.""",toxic,español
711,"""Helpful and clear.""",clean,ingles
712,"""progres tontos""",hate,español
713,"""wenas chaval todo bien?""",clean,español
714,"""mujeres brecha salarial""",hate,español
715,"""This is the most trash thing I've ever seen. You should go cry about it. 🤡""",toxic,ingles
716,"""musulmanes mezquitas""",hate,español
717,"""wey esto es una mmd 😂""",toxic,español
718,"""Mierderos negros chinguen a su madre""",hate,español
719,"""uffff tremendo nivel 💪""",clean,español
720,"""catalanes de mierda""",hate,español
721,"""Delusional retards are stealing our oxygen""",hate,ingles
722,"""Mugrosos puercos deberían fusilarlos""",hate,español
723,"""Why are you so annoying? It's pathetic. 🖕""",toxic,ingles
724,"""this patch feels good""",clean,ingles
725,"""Dirty homos should hang from trees""",hate,ingles
726,"""rusos espías""",hate,español
727,"""holaaa saludos desde casa""",clean,español
728,"""Nice breakdown of the topic.""",clean,ingles
729,"""You're so ugly, both inside and out.""",toxic,ingles
730,"""wenas wenas gente bella :)""",clean,español
731,"""Hers my statement, I think ali sheep butt fucker masri should take an ak and go fight in syria..""",toxic,ingles
732,"""Nice explanation style.""",clean,ingles
733,"""nooo pero remontamos""",clean,español
734,"""This is not your counties go back to he middle east that's your counties b""",toxic,ingles
735,"""fascistas dictadores""",hate,español
736,"""bassem I think walmart is hiring for the holidays. get a job loser!!!""",toxic,ingles
737,"""esto hard o normal?""",clean,español
738,"""VAMOS chat apoyen""",clean,español
739,"""I hate vile heebs fr""",hate,ingles
740,"""Qué broma más asqueroso. Solo eres un idiota.""",toxic,español
741,"""SIII eso es todo 🙌""",clean,español
742,"""All hoes are enemies of the state""",hate,ingles
743,"""q onda chat!!! 😎""",clean,español
744,"""Todos los Argentinos son unos muertos de hambre wey""",hate,español
745,"""""I can believe whatever I wanna believe, I don't care what any of them have to say.""
Bassem Masri, you are an idiot.""",toxic,ingles
746,"""jajajaja timing perfecto""",clean,español
747,"""I really like this video 😊""",clean,ingles
748,"""The legal system is inherently racist, same as this CNN reporter""",toxic,ingles
749,"""Todos los peruanos son unos pendejos al chile🥴🌶️""",hate,español
750,"""jajaja me sorprendio :D""",clean,español
751,"""The US government is killing its population!""",toxic,ingles
752,"""wey q pro juegas neta""",clean,español
753,"""africanos sabana""",hate,español
754,"""Thots should die of AIDS""",hate,ingles
755,"""todo fluyendo bn bonito ✨""",clean,español
756,"""Qué broma más idiota. Solo eres un idiota. 🤬""",toxic,español
757,"""siiii victoria 🎉""",clean,español
758,"""glad i clicked this""",clean,ingles
759,"""puras babosadas dices""",toxic,español
760,"""qien mas no vio la noti xD""",clean,español
761,"""catalanes nazis""",hate,español
762,"""USA land of the free baby. HAHAHAHA! All you people not living in USA, should be thankful everyday. This is the worse country on earth.""",toxic,ingles
763,"""XD me duele la panza jajaja""",clean,español
764,"""no sirves pa nada, neta""",toxic,español
765,"""Lárgate, basura repugnante.""",toxic,español
766,"""hola hola chat movido 😎""",clean,español
767,"""What a annoying joke. You're just a moron.""",toxic,ingles
768,"""Eres una deshonra para todos.""",toxic,español
769,"""Eres tan estúpido que no tienes salvación.""",toxic,español
770,"""bro das hueva, sin ofender 😒""",toxic,español
771,"""I appreciate the explanation.""",clean,ingles
772,"""F entretenido run :)""",clean,español
773,"""otra vez mal""",toxic,español
774,"""Me cagan los negros babosos🐵""",hate,español
775,"""pog ese play""",clean,español
776,"""holaaaa recien entro 😄""",clean,español
777,"""Wetbacks are primitive and spread diseases""",hate,ingles
778,"""Muérete, eres un desperdicio de vida.""",toxic,español
779,"""hay regalos?""",clean,español
780,"""XD me rei como nunca""",clean,español
781,"""qien mas esta viendo esto? :]""",clean,español
782,"""Simple but effective.""",clean,ingles
783,"""q fastidio verte escribir""",toxic,español
784,"""JAJAJA ese timing xD""",clean,español
785,"""Pinches sidosos son basura al chile""",hate,español
786,"""neta esta buenerrimo 😎""",clean,español
787,"""Eres un idiota total. Consíguete una vida. 👎""",toxic,español
788,"""Eres tan tonto que duele escucharte.""",toxic,español
789,"""You're the worst kind of human being imaginable.""",toxic,ingles
790,"""Pinches indios chinguen a su madre la neta""",hate,español
791,"""cállese señor ignorante 🤡""",toxic,español
792,"""Dirty jews are destroying the world""",hate,ingles
793,"""this deserves more viewers""",clean,ingles
794,"""siiii eso es todo 🙌""",clean,español
795,"""Whites should be extinct""",hate,ingles
796,"""I didn’t know that, thanks for sharing!""",clean,ingles
797,"""Cállate la boca, imbécil de mierda.""",toxic,español
798,"""All hoes are perverted pedophiles""",hate,ingles
799,"""You honestly believe that Mike Brown was actually trying to take a cops gun while the cop was sitting in the car?  You would be stupid to think that a kid would charge at someone pointing a gun at them as if he was some beast and was high. 

 If he was so high how could Mike go to the store and do everything else so easily..epic fail sir.  Why not make the officer take a toxicology test.  The officer was obviously scared and was going to use his weapon per being intimidated by Mike's size. 

The officer didn't know that Mike had stolen anything and told the dispatcher that he knew nothing of a shooting in the area.

Get your facts straight please. """,toxic,ingles
800,"""Eres feo por dentro y por fuera.""",toxic,español
801,"""LOL eso fue muy random :v""",clean,español
802,"""comentario absurdo""",toxic,español
803,"""Me cagan los hondureños mugrosos""",hate,español
804,"""q onda loco ya comenzaron?""",clean,español
805,"""africanos enfermedades""",hate,español
806,"""You're the most annoying person on the planet.""",toxic,ingles
807,"""This makes things clearer.""",clean,ingles
808,"""xd xd xd no paro 😂""",clean,español
809,"""Pinches prietos regresen a su país no mames""",hate,español
810,"""lol casi""",clean,español
811,"""jajaja chat enloquecio""",clean,español
812,"""otra pendejada tuya""",toxic,español
813,"""comentario todo mal""",toxic,español
814,"""Corrientes nacos regresen a su país""",hate,español
815,"""Butch lesbians are repulsive""",hate,ingles
816,"""You tellin me if he did in fact steal swisher sweets is the value of his life...Just admit you all are racist quit being a bunch of FAGGOTT bitches """,toxic,ingles
817,"""comentario basura""",toxic,español
818,"""cuando empieza lo bueno??""",clean,español
819,"""Go away, you revolting slob.""",toxic,ingles
820,"""dale bro ultimo push 💪""",clean,español
821,"""no sabes ni de lo que opinas""",toxic,español
822,"""tu sigue wey 😄""",clean,español
823,"""What's with all the dislikes? White people are that offended? You thought racism wasn't an issue anymore....think again""",toxic,ingles
824,"""musica bien cool """,clean,español
825,"""¿Por qué eres tan idiota? Das pena.""",toxic,español
826,"""progres lenguaje inclusivo""",hate,español
827,"""qué comentario tan miserable""",toxic,español
828,"""Pinches fifis son delincuentes wey""",hate,español
829,"""Gatos maricas hay que dormirlos""",hate,español
830,"""derechistas iglesia""",hate,español
831,"""Hahahahaha.  This guy is Ed Bassmaster's character ALWAYS TESTE. Ed Bassmaster has a semi-retarded character who is cross-eyed just like this guy""",toxic,ingles
832,"""Me cagan los sidosos babosos""",hate,español
833,"""q onda viejo """,clean,español
834,"""nazis asesinos""",hate,español
835,"""sigue asi jefe 👏""",clean,español
836,"""im vibing with this music""",clean,ingles
837,"""DALE rey confio en ti""",clean,español
838,"""otra tontería como siempre""",toxic,español
839,"""Cierra la boca, estúpido de mierda.""",toxic,español
840,"""I think ,he kill him""",toxic,ingles
841,"""What a toxic joke. You're just a loser. 🙄""",toxic,ingles
842,"""Protesters suck""",toxic,ingles
843,"""Eres tan patético que dan lástima.""",toxic,español
844,"""eres un necio""",toxic,español
845,"""F buena run :)""",clean,español
846,"""animo crack ya casi 🏆""",clean,español
847,"""Cállate y borres tu cuenta. No tienes idea de lo que hablas. 🤮""",toxic,español
848,"""Corrientes judíos no deberían existir""",hate,español
849,"""todo mal, TODO""",toxic,español
850,"""colombianos sicarios""",hate,español
851,"""Todos los negros son unos asquerosos a la verga""",hate,español
852,"""Todos los maricas son unos nacos no valen verga""",hate,español
853,"""olvidanos mejor que te odiamos""",toxic,español
854,"""cállate tantito pls""",toxic,español
855,"""All spics are unwanted""",hate,ingles
856,"""qien mas like?""",clean,español
857,"""Dirty retards belong in the oven""",hate,ingles
858,"""Todos los indios son unos putos no valen verga""",hate,español
859,"""wey q asco d opinion 🤮""",toxic,español
860,"""You actually CAN shout ""fire"" in a crowded theater. Christopher Hitchens demonstrated this in his talk about ""free speech."" Look it up. The interviewee is correct. Cops serve the public, not the other way around. And it is consistent with serving that public that the police department represent that public's race and ethnicity in its ranks. Hire a bunch of big, tough, black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager. """,toxic,ingles
861,"""Nadie te quiere aquí, lárgate ya.""",toxic,español
862,"""lol nooo jajaja""",clean,español
863,"""wenas compa listo 🎮""",clean,español
864,"""SIII victoria epica 🏆""",clean,español
865,"""q pro esa estrategia bro 💪""",clean,español
866,"""Shut up and delete your account. You have no idea what you're talking about.""",toxic,ingles
867,"""muy buena musica 🎶""",clean,español
868,"""otra vez lo mismo""",toxic,español
869,"""it''s freaking 2014 and some people are still racist, police are still awful """,toxic,ingles
870,"""Muérete, el mundo te agradecería.""",toxic,español
871,"""good night everyone 💖""",clean,ingles
872,"""hiii everyone whats up today? ^^""",clean,ingles
873,"""ese ace brutal""",clean,español
874,"""Go away, you're making everyone uncomfortable with your presence.""",toxic,ingles
875,"""holaaaa a todos <3""",clean,español
876,"""first time catching u live :)""",clean,ingles
877,"""feministas aborto""",hate,español
878,"""otra vez este idiota""",toxic,español
879,"""okupas sucios""",hate,español
880,"""chat activo se siente cool 😎""",clean,español
881,"""Vete de aquí, trol. Estás poniendo a todos inservible.""",toxic,español
882,"""Pinches gringos son unos arrastrados pinche madre""",hate,español
883,"""Me cagan los venecos sarnosos""",hate,español
884,"""negros inferiores""",hate,español
885,"""q mapa sigue chat?""",clean,español
886,"""Deja de publicar tus opiniones estúpido. A nadie le importa. 🤮""",toxic,español
887,"""colombianos cutres""",hate,español
888,"""Someone has to say this so I will.
With the way most black people behave no wonder Ferguson is such a shitty place.
Most black people in the US are so fucking lazy.
I am saying this because of countless examples from my life:
1. My grandmother got a black house nurse once and the bitch did nothing all day. When my grandmother complained to the agency they sent a different woman (wasn't black) that cleaned the entire house in 4 hours.
2. My mom works at a hospital as a nurse and all her black co workers constantly do nothing and are lazy.
Now once again. not all black people are like this (one of my best friends is black and I like him like a brother) but most of them are. The fucks expect to get everything they want only because their ancestors were once slaves. 
Well, Hitler killed most of my ancestors, do you see me with sagging pants and crying like a stupid bitch about it like those stupid black people?

The inequality of representation is probably because (again) black people are generally lazy or lack the skills required to hold such positions. 
The household income ties into my previous point (lazy/lacking skill = lower income jobs).
The dropout rate from school need to be taken against the black people at Ferguson, because, once again, how will you hold a high paying job if you didn't even graduate fucking high school?
The 80% worse healthcare is once again tied into the low income. More money = better doctors.
As for the inequality of enforcement, I have to give you that one that is completely unfair, however, when looking at black officers they frisk mostly black people as well, hmmmm..... interesting? maybe.""",toxic,ingles
889,"""friend was right this slaps""",clean,ingles
890,"""Good job explaining this.""",clean,ingles
891,"""Repulsive kikes are destroying the world""",hate,ingles
892,"""Eres tan despreciable que nadie te respeta.""",toxic,español
893,"""Nacos frijoleros que se mueran alv""",hate,español
894,"""this is perfect timing 😍""",clean,ingles
895,"""Me cagan los viejas putos""",hate,español
896,"""Shut up, you don't know what you're talking about, idiot.""",toxic,ingles
897,"""dale compa sin pena 🔥""",clean,español
898,"""This explanation was helpful.""",clean,ingles
899,"""holaaaa saluditos o/""",clean,español
900,"""cuando sale el boss??""",clean,español
901,"""me rei demasiado xD""",clean,español
902,"""buenas noches crack ✨""",clean,español
903,"""Vete al diablo, basura humana.""",toxic,español
904,"""calidad top como siempre ⭐""",clean,español
905,"""Makes things easier to get.""",clean,ingles
906,"""progres basura""",hate,español
907,"""SIII se pudo 🏆""",clean,español
908,"""feministas movimiento""",hate,español
909,"""calidad de stream top """,clean,español
910,"""esto ya es ranked o q?""",clean,español
911,"""You are absolutely annoying. Why do you even talk? 🤫""",toxic,ingles
912,"""Espero que borres tu cuenta, inservible morón.""",toxic,español
913,"""comentario pajero""",toxic,español
914,"""Shemales should be shot""",hate,ingles
915,"""qien fue el mvp?""",clean,español
916,"""Pinches fifis no valen madre la neta""",hate,español
917,"""comentario estúpido""",toxic,español
918,"""Eres un completo idiota. ¿Por qué sigues comentando? 👎""",toxic,español
919,"""Todos los tortilleras son unos gatos en corto""",hate,español
920,"""aprendo un chorro aqui""",clean,español
921,"""Too bad that these were riot shotguns and not loaded with live rounds.""",toxic,ingles
922,"""me gusta cuando explicas bn 👍""",clean,español
923,"""Vete, apestas a mediocridad.""",toxic,español
924,"""qien mas espera el evento??""",clean,español
925,"""comentario sin valor""",toxic,español
926,"""I hate repulsive jigaboos smh""",hate,ingles
927,"""Me cagan los peruanos mugrosos 🇵🇪💩""",hate,español
928,"""homosexuales sidosos""",hate,español
929,"""All chinks are violent criminals""",hate,ingles
930,"""no aportas informacion realizata, mejor vete""",toxic,español
931,"""hi all first time here <3""",clean,ingles
932,"""Me cagan los Argentinos mugrosos🇳🇮💩""",hate,español
933,"""This is clear for me.""",clean,ingles
934,"""Pinches chilangos son delincuentes no valen verga""",hate,español
935,"""bro aprende algo nuevo""",toxic,español
936,"""Dykes are unnatural""",hate,ingles
937,"""This feels honest.""",clean,ingles
938,"""Parasitic jigaboos need to go back to the zoo""",hate,ingles
939,"""I like the way you talk.""",clean,ingles
940,"""Diseased trannies deserve no rights""",hate,ingles
941,"""Eres un trol total. Consíguete una vida. 🤫""",toxic,español
942,"""siiii esa es la jugada""",clean,español
943,"""Me cagan los tortilleras gatos""",hate,español
944,"""ese carreador brutal 🔥""",clean,español
945,"""nooo pero se remonta""",clean,español
946,"""Dirty immigrants spread diseases🐵""",hate,ingles
947,"""buff a ese personaje ya 😅""",clean,español
948,"""STFU YOU MUSLIM PIECE OF SHIT!  the cops should have fired ten rounds into his ass.

or better still... lets cut his head off and pour pigs blood down his throat. I am willing to bet it was them dirty fckn Islamic bastards that set those fires and not even the blacks that did.""",toxic,ingles
949,"""This explanation is good.""",clean,ingles
950,"""Corrientes feminazis deberían fusilarlos""",hate,español
951,"""Blue lives matter more""",hate,ingles
952,"""Babosos frijoleros son unos arrastrados""",hate,español
953,"""xD q paso ahi""",clean,español
954,"""Qué broma más asqueroso. Solo eres un fracasado.""",toxic,español
955,"""Pinches maricas nadie los quiere en corto""",hate,español
956,"""xD no me lo esperaba 😂""",clean,español
957,"""Todos los Argentinos son unos babosos wey""",hate,español
958,"""Deja de publicar tus opiniones sin cerebro. A nadie le importa. 🤫""",toxic,español
959,"""buff necesario ya XD""",clean,español
960,"""Bassem Masri is a terrorist part of isis""",toxic,ingles
961,"""ez todo de una 😎""",clean,español
962,"""Vile feminazis should die""",hate,ingles
963,"""xD justo en el momento""",clean,español
964,"""Esta es la cosa más tóxico que he visto. Deberías dejes de hablar. 😂""",toxic,español
965,"""Arabs Hate black people. This ISIS sympathizer just wants to call it his community. Nonsense.""",toxic,ingles
966,"""All dykes need a real man""",hate,ingles
967,"""I can't believe how worthless some people are. Truly worthless. 🤬""",toxic,ingles
968,"""buenas bro todo tranqui 😊""",clean,español
969,"""Pendejos fifis nos roban el aire""",hate,español
970,"""socialistas obreros""",hate,español
971,"""Espero que borres tu cuenta, estúpido cobarde. 🤮""",toxic,español
972,"""Good explanation, thanks!""",clean,ingles
973,"""esta bn chido el stream 👍""",clean,español
974,"""Thots are subhuman and deserve no rights""",hate,ingles
975,""".     Leaving out information when giving a police report because they didn't ask you for that info, *is* lying by omission. That's why it's not outright lying......because you omitted the information. These are some stupid lawyers.""",toxic,ingles
976,"""You're a total clown. Get a life. 💩""",toxic,ingles
977,"""mejor guarda tu saliva""",toxic,español
978,"""bro ya nadie t cree""",toxic,español
979,"""comentario de flojera""",toxic,español
980,"""gracias por transmitir 🙌""",clean,español
981,"""gg wp fue divertido 👏""",clean,español
982,"""Esta es la cosa más sin cerebro que he visto. Deberías aprendas algo. 🤬""",toxic,español
983,"""eres bien necio""",toxic,español
984,"""clutch de locos bro 🤩""",clean,español
985,"""comentario boomer""",toxic,español
986,"""I can't believe how useless some people are. Truly useless.""",toxic,ingles
987,"""este vato cree q sabe y no sabe ni vrg 😂""",toxic,español
988,"""VAMOS CHAT APOYANDO 🎉""",clean,español
989,"""todo chill aqui ✨""",clean,español
990,"""otro comentario tuyo y me da algo, q idiota eres""",toxic,español
991,"""Qué broma más inservible. Solo eres un asqueroso.""",toxic,español
992,"""gg wp chat hermoso""",clean,español
993,"""This feels very good.""",clean,ingles
994,"""no sabes ni lo basico""",toxic,español
995,"""puras tonterías""",toxic,español
996,"""VAMOSSSS SE PUEDE 🔥""",clean,español
997,"""that clutch was insane""",clean,ingles
998,"""Make me a sandwich bitch🤬🥪""",hate,ingles
999,"""mujeres sumisas""",hate,español
1000,"""Me cagan los nacos asquerosos""",hate,español
1001,"""Never argue with an idiot """,toxic,ingles
1002,"""u inspire me ngl""",clean,ingles
1003,"""Subhuman niggers get out""",hate,ingles
1004,"""vamosss ultimo intento""",clean,español
1005,"""wooow calidad total 😍""",clean,español
1006,"""You're such a burden to everyone who knows you.""",toxic,ingles
1007,"""nmms q verguenza ajena 😬😬""",toxic,español
1008,"""qien fue el mvp chat?""",clean,español
1009,"""You're an absolute disgrace to humanity.""",toxic,ingles
1010,"""todo relajado 😎""",clean,español
1011,"""rumanos gitanos""",hate,español
1012,"""You're a total loser. Get a life. 🤫""",toxic,ingles
1013,"""tu puedes compa ❤️""",clean,español
1014,"""Retards should be euthanized""",hate,ingles
1015,"""Eres tan incompetente que es impresionante.""",toxic,español
1016,"""inmigrantes fuera""",hate,español
1017,"""bien ahi maestro 👏""",clean,español
1018,"""negros raza""",hate,español
1019,"""me gusta mucho este juego""",clean,español
1020,"""Me cagan los judíos putos""",hate,español
1021,"""derechistas corruptos""",hate,español
1022,"""negros gueto""",hate,español
1023,"""practice paying off bro""",clean,ingles
1024,"""jajaja qué imbécil eres bro 😂😂""",toxic,español
1025,"""Eres un completo tóxico. ¿Por qué sigues hablando? 🤫""",toxic,español
1026,"""esta brutal bro en serio 🤩""",clean,español
1027,"""W merecida 💯""",clean,español
1028,"""dale ultimo push 💪""",clean,español
1029,"""momento ÉPICO total ⭐""",clean,español
1030,"""Todos los Argentinos son unos sarnosos no valen verga""",hate,español
1031,"""You're a complete joke and everyone knows it.""",toxic,ingles
1032,"""Stop posting your trash opinions here. Nobody cares.""",toxic,ingles
1033,"""chinos plaga""",hate,español
1034,"""se siente buena vibra""",clean,español
1035,"""Not confusing at all.""",clean,ingles
1036,"""Me cagan los puercos corrientes""",hate,español
1037,"""se siente buena vibra aqui ✨""",clean,español
1038,"""eres un fastidio""",toxic,español
1039,"""dale sin miedo 💪""",clean,español
1040,"""Eres una completa basura de persona.""",toxic,español
1041,"""wey q asco leer eso 🤮""",toxic,español
1042,"""qué flojera das""",toxic,español
1043,"""Stop posting your annoying opinions here. Nobody cares. 🤡""",toxic,ingles
1044,"""gg wp gracias por todo""",clean,español
1045,"""I can't believe how trash some people are. Truly trash. 💩""",toxic,ingles
1046,"""Dirty soyboys are violent criminals""",hate,ingles
1047,"""Me cagan los hondureños culeros""",hate,español
1048,"""animo bro ya casi """,clean,español
1049,"""Not bad at all, good job 👍""",clean,ingles
1050,"""Repulsive immigrants are violent criminals""",hate,ingles
1051,"""Eres la razón por la que la gente pierde la fe.""",toxic,español
1052,"""I get the idea now.""",clean,ingles
1053,"""Disgusting shemales are perverted pedophiles""",hate,ingles
1054,"""All spics spread diseases😷""",hate,ingles
1055,"""comentario bazofia""",toxic,español
1056,"""bro neta ya basta""",toxic,español
1057,"""All whites are devils""",hate,ingles
1058,"""nadie pidió tu opinión""",toxic,español
1059,"""hey bro good vibes""",clean,ingles
1060,"""q mamada acabo de leer 😂""",toxic,español
1061,"""pinche comentario inútil""",toxic,español
1062,"""rojos cunetas""",hate,español
1063,"""xD justo ahi paso""",clean,español
1064,"""Pinches fifis dan un chingo de asco hijos de la chingada""",hate,español
1065,"""venezolanos plaga""",hate,español
1066,"""Pinches cholos no deberían existir a la verga""",hate,español
1067,"""All faggots need to be euthanized""",hate,ingles
1068,"""Espero que aprendas algo, idiota trol. 👎""",toxic,español
1069,"""This guy is a moron.""",toxic,ingles
1070,"""terroristas asesinos""",hate,español
1071,"""esta bueno hoy ❤️""",clean,español
1072,"""no mames ya""",toxic,español
1073,"""habra incursiones?""",clean,español
1074,"""Sick shemales should be shot""",hate,ingles
1075,"""gg wp sabroso""",clean,español
1076,"""That makes sense now.""",clean,ingles
1077,"""Lazy shemales belong in the oven""",hate,ingles
1078,"""buenas compas listos 😄""",clean,español
1079,"""I can't believe how pathetic some people are. Truly pathetic.""",toxic,ingles
1080,"""ufff gran decision""",clean,español
1081,"""haha this is gold 😂""",clean,ingles
1082,"""That was a good example.""",clean,ingles
1083,"""Putos gringos nos roban el aire""",hate,español
1084,"""ur cam quality is clean""",clean,ingles
1085,"""thanks for being u""",clean,ingles
1086,"""mujeres feminazis""",hate,español
1087,"""Vete de aquí, asqueroso. Estás poniendo a todos tóxico.""",toxic,español
1088,"""Eres un completo patético. ¿Por qué sigues publicando? 😒""",toxic,español
1089,"""colombianos violencia""",hate,español
1090,"""Racist whites are the problem""",hate,ingles
1091,"""qien mas esperas jefe?""",clean,español
1092,"""this made my day fr""",clean,ingles
1093,"""Easy to follow explanation.""",clean,ingles
1094,"""q pro te salio rey :D""",clean,español
1095,"""otra vez tus tonterías""",toxic,español
1096,"""qué idiota comentario""",toxic,español
1097,"""Hediondos chilangos me cagan la madre""",hate,español
1098,"""Espero que vayas a llorar, molesto cobarde. 🤮""",toxic,español
1099,"""estás bien alucin""",toxic,español
1100,"""derechistas bandera""",hate,español
1101,"""GG bien jugado crack""",clean,español
1102,"""This explanation is clear.""",clean,ingles
1103,"""bro ya superalo""",toxic,español
1104,"""que alguien me diga el horario porfa""",clean,español
1105,"""Vete de aquí, payaso. Estás poniendo a todos estúpido.""",toxic,español
1106,"""q comentario tan innecesario""",toxic,español
1107,"""Qué broma más inservible. Solo eres un trol. 🤡""",toxic,español
1108,"""heard a Billionaire funded these organised riots ,what a fucken suck joke""",toxic,ingles
1109,"""feministas locas""",hate,español
1110,"""Me cagan los chilangos mugrosos""",hate,español
1111,"""no sabes nadar jajajaja""",toxic,español
1112,"""tu puedes hermano""",clean,español
1113,"""Helpful content, thanks 😊""",clean,ingles
1114,"""Pinches oaxacos hay que dormirlos hijos de la chingada""",hate,español
1115,"""Stop posting your clueless opinions here. Nobody cares. 💩""",toxic,ingles
1116,"""GG bien jugado crack 🔥""",clean,español
1117,"""This is well done.""",clean,ingles
1118,"""stop being criminals and you wont get shot, that simple""",toxic,ingles
1119,"""Eres un fracaso total en todo lo que haces.""",toxic,español
1120,"""Trans rights are fake""",hate,ingles
1121,"""The editing is clean 👍""",clean,ingles
1122,"""todo se ve limpio ✨""",clean,español
1123,"""Vete de aquí, perdedor. Estás poniendo a todos patético.""",toxic,español
1124,"""qien anda desde el inicio?""",clean,español
1125,"""esto cuenta como W? :P""",clean,español
1126,"""I can't stand these dirty kikes""",hate,ingles
1127,"""que onda bro""",clean,español
1128,"""puras babosadas""",toxic,español
1129,"""todo fluye bn """,clean,español
1130,"""Pinches putos hay que dormirlos la neta""",hate,español
1131,"""The example was useful.""",clean,ingles
1132,"""dale compa sin miedo""",clean,español
1133,"""Why are you so ignorant? It's pathetic. 🤡""",toxic,ingles
1134,"""holaaaa terminando la chamba""",clean,español
1135,"""Culeros negros nadie los quiere""",hate,español
1136,"""judíos extranjeros""",hate,español
1137,"""judíos religión""",hate,español
1138,"""muy crack neta""",clean,español
1139,"""bye chat much love <3""",clean,ingles
1140,"""I hope you learn something, you idiotic troll.""",toxic,ingles
1141,"""Gatos centroacas regresen a su país""",hate,español
1142,"""Pinches Argentinos váyanse a la verga en corto""",hate,español
1143,"""Eres el peor error del universo.""",toxic,español
1144,"""Jodidos putos nos roban el aire""",hate,español
1145,"""ese movimiento estuvo brutal 🔥""",clean,español
1146,"""Heebs spread diseases""",hate,ingles
1147,"""LMAO that caught me off 😂""",clean,ingles
1148,"""Delusional lesbians need to be euthanized""",hate,ingles
1149,"""qué estupidez""",toxic,español
1150,"""I watched this twice already lol.""",clean,ingles
1151,"""Pretty straightforward stuff.""",clean,ingles
1152,"""qué pendejada acabo de leer""",toxic,español
1153,"""se siente buena vibra 😄""",clean,español
1154,"""esto esta top tier""",clean,español
1155,"""sanchistas falcon""",hate,español
1156,"""qien mas conectado?""",clean,español
1157,"""JAJAJAJA que chistoso""",clean,español
1158,"""nmms wey, estás bien menso jajaja""",toxic,español
1159,"""hey gente linda uwu""",clean,español
1160,"""gg bien jugado estuvo bueno 👏""",clean,español
1161,"""JAJAJA timing perfecto""",clean,español
1162,"""Todos los trans son unos malditos al chile🤮⚧️""",hate,español
1163,"""I appreciate this explanation.""",clean,ingles
1164,"""a qe hora vuelves?""",clean,español
1165,"""All chinks should leave""",hate,ingles
1166,"""neta q ridiculo comentario""",toxic,español
1167,"""You are absolutely trash. Why do you even talk? 😂""",toxic,ingles
1168,"""What a useless joke. You're just a troll.""",toxic,ingles
1169,"""Clear and helpful explanation 👍""",clean,ingles
1170,"""lol chat spameando F""",clean,español
1171,"""THIS ARAB PIECE OF SHIT,,, ACTING LIKE HE GETS HARRASSED,, HE OR HIS PARENTS OWN A STORE AND YET HE ACTS LIKE HE GETS TREATED LIKE BLACK PEOPLE LOL... the same people who steals from his store,, what a moron piece of shit""",toxic,ingles
1172,"""hola wey como estas :)""",clean,español
1173,"""terroristas bombas""",hate,español
1174,"""bro tus ideas dan hueva 😴""",toxic,español
1175,"""F al menos lo intentamos :(""",clean,español
1176,"""Gatos lenchas son delincuentes""",hate,español
1177,"""Todos los puercos son unos hediondos no mames""",hate,español
1178,"""Lol. This is what happens when the greedy rich slime keep the masses uneducated & ignorant. Now deal with the stupid that you created. Trying to reason with the irrational is an exercise in futility. Get the popcorn ready bc it's about to boil over. If you fall for the talk you will fall just walking. """,toxic,ingles
1179,"""apoyando chat :)""",clean,español
1180,"""This moron is talking about being peaceful?  Their burning the nation's flag idiot.  Even though that's what you are suppose to do when it's old so they have no knowledge.  They are babies making noise. """,toxic,ingles
1181,"""holaaa tarde perdon""",clean,español
1182,"""vamosss un intento mas 🎯""",clean,español
1183,"""me quedo todo el tiempo 🥳""",clean,español
1184,"""Espero que dejes de hablar, molesto morón.""",toxic,español
1185,"""People say blacks play the victim. 

But according to the comments its our fault that  the elected officals are racists. 

Whites had a good thing going in Missouri but they had to be racist.  

All white folks do is point fingers.  
Take these punk bitches out of power.  

We goin back to racism. 

Deport everyone else.  

 """,toxic,ingles
